command,description
cdp appliance-vlan enable,"To enable the switch to advertise the voice VLAN in CDP packets on all interfaces that are CPD-enabled and are members of the voice VLAN, use the cdp appliance-vlan enable Global Configuration mode command. To disable CDP voice VLAN advertisement, use the no form of this command."
cdp device-id format,"To specify the format of Device-ID TLV, use the cdp device-id format Global Configuration mode command."
cdp enable,"To enable CDP on an interface, use the cdp enable Interface Configuration mode command. To disable CDP on an interface, use the no form of this command."
cdp holdtime,"To specify the number of seconds that CDP packets are held before the packets are discarded, measured in multiples of the TLV Advertise Interval, use the cdp holdtime Global Configuration mode command."
cdp log mismatch duplex,"To enable validating that the duplex status of an interface received in a CDP packet matches its actual configuration, use the cdp log mismatch duplex Interface Configuration mode command. To disable generating the SYSLOG messages for duplex mismatches, use the no form of this command."
cdp log mismatch native,"To enable validating that the native VLAN received in a CDP packet matches the actual native VLAN of the interface, use the cdp log mismatch native Interface Configuration mode command. To disable generating the SYSLOG messages for native VLAN mismatches, use the no form of this command."
cdp log mismatch voip,"To enable validating that the VoIP status of the interface received in a CDP packet matches its actual configuration, use the cdp log mismatch voip Interface Configuration mode command. To disable generating the SYSLOG messages for VoIP mismatches, use the no form of this command."
cdp mandatory-tlvs validation,"To validate that all mandatory (according to CDP protocol) TLVs are present in the received CDP frames, use the cdp mandatory-tlvs validation Global Configuration mode command. To disable the CDP mandatory TLVs validation, use the no form of this command."
cdp pdu,"To specify how to deal with CDP packets when CDP is disabled globally, use the cdp pdu Global Configuration mode command."
cdp run,"To enable CDP globally on the switch, use the cdp run Global Configuration mode command. To disable CDP globally on the switch, use the no form of this command."
