command,syntax
lldp med network-policy (Global),"['lldp med network-policy number app {voice | voice-signaling | guest-voice | guest-voice-signaling | softphone-voice | streaming-video | video-conferencing | video-signaling} vlan vlan-id vlan-type { tag | untag } priority priority dscp value', 'no lldp med network-policy number']"
lldp med network-policy (Interface),['lldp med network-policy {add | remove} number']
lldp med tlv-select,"['lldp med tlv-select medtlv1 [medtlv2… medtlv4]', 'no lldp med tlv-select']"
lldp receive,"['lldp receive', 'no lldp receive']"
lldp reinit,"['lldp reinit seconds', 'no lldp reinit']"
lldp run,"['lldp run', 'no lldp run']"
lldp tlv-select 802.1,"['lldp tlv-select 802.1 pvid enable', 'lldp tlv-select 802.1 pvid disable', 'lldp tlv-select 802.1 vlan-name add vlan-id', 'lldp tlv-select 802.1 vlan-name remove vlan-id']"
lldp tlv-select TLV,"['lldp tlv-select TLV [TLV ] [TLV ] [TLV ] [TLV ] [TLV ] [TLV ] [TLV ]', 'no lldp tlv-select']"
lldp transmit,"['lldp transmit', 'no lldp transmit']"
lldp tx-delay,"['lldp tx-delay seconds', 'no lldp tx-delay']"
lldp timer,"['lldp timer seconds', 'no lldp timer']"
show lldp,['show lldp']
show lldp interfaces,['show lldp interfaces interface-id']
show lldp interfaces tlvs-overloading,['show lldp interfaces interface-id tlvs-overloading']
show lldp local-device,['show lldp [interfaces interface-id] local-device']
show lldp med,['show lldp [interfaces interface-id] med']
show lldp neighbor,['show lldp [interfaces interface-id] neighbor']
show lldp statistics,['show lldp [interfaces interface-id] statistics']
deny (Management),"['[sequence sequence-number] deny interfaces interface-id service service', '[sequence sequence-number] deny {ip ipv4-address/ipv4mask | ipv6 ipv6-address/ipv6-prefix-length} [interfaces interface-id] service service']"
management access-class,"['management access-class {console-only | name}', 'no management access-class']"
management access-list,"['management access-list name', 'no management access-list name']"
no sequence (Management),['no sequence']
permit (Management),"['[sequence sequence-number] permit interfaces interface-id service service', '[sequence sequence-number] permit {ip ipv4-address/ipv4mask | ipv6 ipv6-address/ipv6-prefix-length} [interfaces interface-id] service service']"
show management access-class,['show management access-class']
show management access-list,['show management access-list [name]']
show cable-diagnostics cable-length,['show cable-diagnostics cable-length {interfaces interface-id}']
show fiber-ports optical-transceiver,['show fiber-ports optical-transceiver interfaces interface-id [detailed]']
power inline,"['power inline auto [time-range NAME]', 'power inline never']"
power inline legacy enable,"['power inline legacy enable', 'no power inline legacy enable']"
power inline limit,"['power inline limit power', 'no power inline limit']"
power inline limit-mode,"['power inline limit-mode {class | port}', 'no power inline limit-mode']"
power inline priority,['power inline priority {critical | high | low}']
power inline traps enable,"['power inline traps enable', 'no power inline traps enable']"
power inline usage-threshold,"['power inline usage-threshold percent', 'no power inline usage-threshold']"
show env all,['show env all']
show power inline,['show power inline [interface-id]']
show power inline consumption,['show power inline consumption [interfaces interface-id]']
security-suite dos (Global),"['security-suite dos {daeqsa-deny | icmp-frag-pkts-deny | icmpv4-ping-max-check | icmpv6-ping-max-check | ipv6-min-frag-size-check | land-deny | nullscan-deny | pod-deny | smurf-deny | syn-sport|1024-deny | synfin-deny | synrst-deny | tcp-frag-off-min-check | tcpblat-deny | tcphdr-min-check | udpblat-deny | xma-deny}', 'security-suite dos icmp-ping-max-length MAX_LEN', 'security-suite dos ipv6-min-frag-size-length MIN_LEN', 'security-suite dos smurf-netmask MASK', 'security-suite dos tcphdr-min-length HDR_MIN_LEN', 'no security-suite dos {daeqsa-deny | icmp-frag-pkts-deny | icmpv4-ping-max-check | icmpv6-ping-max-check | ipv6-min-frag-size-check | land-deny | nullscan-deny | pod-deny | smurf-deny | syn-sport|1024-deny | synfin-deny | synrst-deny | tcp-frag-off-min-check | tcpblat-deny | tcphdr-min-check | udpblat-deny | xma-deny}']"
security-suite dos (Interface),"['security-suite dos', 'no security-suite dos']"
security-suite dos ip gratuitous-arps,"['security-suite dos ip gratuitous-arps', 'no security-suite dos ip gratuitous-arps']"
show security-suite dos,['show security-suite dos']
show security-suite dos interfaces,['show security-suite dos interfaces interface-id']
clear rmon statistics,['clear rmon statistics [interfaces interface-id]']
rmon alarm,"['rmon alarm index interface interface-id {variableinterval {absolute | delta} rising rising-threshold rising-event falling falling-threshold falling-event startup {rising | rising-falling | falling} [owner NAME]', 'no rmon alarm index']"
rmon event,"['rmon event index {log | trap COMMUNITY | log trap COMMUNITY} [description DESCRIPTION] [owner NAME]', 'no rmon event index']"
rmon history,"['rmon history index interface interface-id [buckets bucket-number] [interval seconds | owner NAME]', 'no rmon history index']"
show rmon alarm,['show rmon alarm {all | index}']
show rmon event,['show rmon event { all | index}']
show rmon event log,['show rmon event [index] log']
show rmon history,['show rmon history {all | index } [statistic]']
show rmon statistics interfaces,['show rmon statistics interfaces interface-id']
radius-server default-param,"['radius-server default-param [key RADIUSKEY] [retransmit retries] [timeout timeout]', 'no radius-server default-param']"
radius-server host,"['radius-server host {ip-address | hostname} [acct-port acct-port-number] [auth-port auth-port-number] [key key-string] [priority priority] [retransmit retries] [timeout timeout] [usg-type {802.1x | all | login}]', 'no radius-server host hostname']"
show radius-server,['show radius-server']
show radius-server default-param,['show radius-server default-param']
class,"['class class-map-name', 'no class class-map-name']"
class-map,"['class-map class-map-name [match-any]', 'no class-map class-map-name']"
match,"['match access-group acl-name', 'no match access-group acl-name']"
police,"['police committed-rate-kbps [exceed-action {drop | forward}]', 'no police']"
police aggregate,"['police aggregate aggregate-policer-name', 'no police aggregate']"
policy-map,"['policy-map policy-map-name', 'no policy-map policy-map-name']"
priority-queue out num-of-queues,['priority-queue out num-of-queues number-of-queues']
qos,"['qos [basic | advanced [ports-not-trusted | ports-trusted]', 'no qos']"
qos advanced-mode trust,"['qos advanced-mode trust {cos | cos-dscp | dscp | ip-precedence}', 'no qos advanced-mode trust']"
qos aggregate-policer,"['qos aggregate-policer name committed-rate-kbps [exceed-action {drop | forward}]', 'no qos aggregate-policer name']"
qos cos,['qos cos default-cos']
qos map cos-queue,['qos map cos-queue cos0.cos7 to queue-id']
qos map dscp-queue,['qos map dscp-queue dscp-list to queue-id']
qos map precedence-queue,['qos map precedence-queue ip-precedence-list to queue-id']
qos map queue-cos,['qos map queue-cos queue-list to cos-id']
qos map queue-dscp,['qos map queue-dscp queue-list to dscp-id']
qos map queue-precedence,['qos map queue-precedence queue-list to ip-precedence-id']
qos remark,"['qos remark {cos | dscp | ip-precedence}', 'no qos remark {cos | dscp | ip-precedence}']"
qos trust (Global),"['qos trust {cos | cos-dscp | dscp | ip-precedence}', 'no qos trust']"
qos trust (Interface),"['qos trust', 'no qos trust']"
service-policy,"['service-policy input policy-map-name', 'no service-policy input']"
set,"['set queue queue-id', 'no set queue']"
show class-map,['show class-map [class-map-name]']
show policy-map,['show policy-map [policy-map-name]']
show policy-map interface,['show policy-map interface interface-id']
show qos,['show qos']
show qos aggregate-policer,['show qos aggregate-policer [aggregate-policer-name ]']
show qos interfaces,['show qos interfaces interface-id']
show qos map,['show qos map [{cos-queue | dscp-queue | ip-precedence-queue | queue-cos | queue-dscp | queue-precedence}]']
show qos queueing,['show qos queueing']
show rate-limit vlan,['show rate-limit vlan vlan-id']
traffic-shape,"['traffic-shape burst [queue] committed-burst', 'no traffic-shape']"
trust-shape (Interface),"['traffic-shape committed-rate', 'no traffic-shape']"
traffic-shape queue,"['traffic-shape queue queue-id committed-rate', 'no traffic-shape queue queue-id']"
trust,"['trust', 'no trust']"
rate-limit (Interface),"['rate-limit committed-rate-kbps', 'no rate-limit']"
rate-limit (VLAN),"['rate-limit committed-rate vlan vlan-id', 'no rate-limit vlan vlan-id']"
wrr-queue bandwidth,['wrr-queue bandwidth weight1 weight2. weightN']
monitor session destination interface,"['monitor session session-number destination interface interface-id [allow-ingress-packet]', 'no monitor session session-number destination interface interface-id']"
monitor session destination remote-span,"['monitor session session-number destination remote-span vlan vlan-id reflector-interface interface-id', 'no monitor session session-number destination remote-span']"
monitor session source interfaces,"['monitor session session-number source interfaces interface-id {both | rx | tx}', 'no monitor session session-number source interfaces interface-id {both | rx | tx}', 'monitor session session-number source vlan vlan-id', 'no monitor session session-number source vlan']"
monitor session source remote-span,"['monitor session session-number source remote-span vlan vlan-id', 'no monitor session session-number source remote-span']"
no monitor session,['no monitor session {session number | all | local | remote}']
remote-span,"['remote-span', 'no remote-span']"
show monitor,['show monitor [session session-number]']
show vlan remote-span,['show vlan remote-span']
channel-group,"['channel-group port channel mode {active | on | passive}', 'no channel-group']"
port-channel load-balance,['port-channel load-balance {src-dst-mac | src-dst-mac-ip}']
show etherchannel summary,['show etherchannel summary']
show snmp-server,['show snmp-server']
show snmp-server community,['show snmp-server community']
show snmp-server engineid,['show snmp-server engineid']
show snmp-server group,['show snmp-server group']
show snmp-server host,['show snmp-server host']
show snmp-server trap,['show snmp-server trap']
show snmp-server view,['show snmp-server view']
show snmp-server user,['show snmp-server user']
snmp-server,"['snmp-server', 'no snmp-server']"
snmp-server community,"['snmp-server community community-string [view view-name] {ro | rw}', 'snmp-server community community-string group group-name', 'no snmp-server community community-string']"
snmp-server contact,['snmp-server contact contact']
snmp-server engineid,['snmp-server engineid {default | ENGINEID}']
snmp-server engineid remote,['snmp-server engineid remote host-ip ENGINEID']
snmp-server group,"['snmp-server group groupname {v1 | v2c | v3} {noauth | auth | priv} read-view readview write-view writeview [notify-view notifyview]', 'no snmp-server group groupname {v1 | v2c | v3} {noauth | auth | priv}']"
snmp-server host,"['snmp-server host {ipv4address | hostname | ipv6address} [traps | informs] [version {1 | 2c | 3} [noauth | auth | priv] community-string [udp-port port-number ] [timeout timeout-value] [retries retry-time]', 'no snmp-server host {ipv4address | hostname | ipv6address}']"
snmp-server location,['snmp-server location location']
snmp-server trap,"['snmp-server trap [auth | cold-start | linkUpDown | port-security | warm-start]', 'no snmp-server trap [auth | cold-start | linkUpDown | port-security | warm-start]']"
snmp-server user,"['snmp-server user username groupname [auth {sha | sha224 | sha256 | sha384 | sha512} AUTHPASSWD]', 'snmp-server user username groupname auth {sha | sha224 | sha256 | sha384 | sha512} AUTHPASSWD priv PRIVPASSWD', 'no snmp-server user username']"
snmp-server view,"['snmp-server view view-name subtree oid-tree oid-mask {all | MASK} viewtype {included | excluded}', 'no snmp-server view view-name subtree [oid-tree | all]']"
clear spanning-tree detected-protocols,['clear spanning-tree detected-protocols [interfaces interface-id]']
instance (MST),"['instance instance-id vlan vlan-range', 'no instance instance-id vlan vlan-range']"
name (MST),"['name string', 'no name']"
revision (MST),"['revision value', 'no revision']"
show spanning-tree,['show spanning-tree']
show spanning-tree interfaces,['show spanning-tree interfaces interface-id [statistic]']
show spanning-tree mst,['show spanning-tree mst instance-id']
show spanning-tree mst configuration,['show spanning-tree mst configuration']
show spanning-tree mst interfaces,['show spanning-tree mst instance-id interfaces interface-id']
spanning-tree,"['spanning-tree', 'no spanning-tree']"
spanning-tree bpdu (Global),"['spanning-tree bpdu {filtering | flooding}', 'no spanning-tree bpdu']"
spanning-tree bpdu-filter (Interface),"['spanning-tree bpdu-filter {disable | enable}', 'no spanning-tree bpdu-filter']"
spanning-tree bpdu-guard (Interface),"['spanning-tree bpdu-guard {disable | enable}', 'no spanning-tree bpdu-guard']"
spanning-tree cost (Interface),"['spanning-tree cost cost', 'no spanning-tree cost']"
