command,syntax_products
deny (Management),"[('[sequence sequence-number] deny interfaces interface-id service service', 'cbs_220'), ('[sequence sequence-number] deny {ip ipv4-address/ipv4mask | ipv6 ipv6-address/ipv6-prefix-length} [interfaces interface-id] service service', 'cbs_220'), ('deny [interface-id] [service service]', 'cbs_250, cbs_350, cat_1300'), ('deny ip-source {ipv4-address | ipv6-address/ipv6-prefix-length} [mask {mask | prefix-length}] [interface-id] [service service]', 'cbs_250, cbs_350, cat_1300')]"
description,"[('description string', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('no description', 'cbs_220, cbs_250, cbs_350, cat_1300')]"
description 802.1x,"[('description text', 'cbs_250, cbs_350, cat_1300'), ('no description', 'cbs_250, cbs_350, cat_1300')]"
device-role (IPv6 DHCP Guard),"[('device-role {client | server}', 'cbs_350, cat_1300'), ('no device-role', 'cbs_350, cat_1300')]"
device-role (ND Inspection Policy),"[('device-role {host | router}', 'cbs_350, cat_1300'), ('no device-role', 'cbs_350, cat_1300')]"
device-role (Neighbor Binding),"[('device-role {perimeter | internal}', 'cbs_350, cat_1300'), ('no device-role', 'cbs_350, cat_1300')]"
device-role (RA Guard Policy),"[('device-role {host | router}', 'cbs_350, cat_1300'), ('no device-role', 'cbs_350, cat_1300')]"
dir,"[('dir', 'cbs_220'), ('dir [url]', 'cbs_250, cbs_350, cat_1300')]"
directed-broadcast,"[('directed-broadcast', 'cbs_250, cbs_350, cat_1300'), ('no directed-broadcast', 'cbs_250, cbs_350, cat_1300')]"
disable ports leds,"[('disable ports leds', 'cbs_250, cbs_350, cat_1300'), ('no disable ports leds', 'cbs_250, cbs_350, cat_1300')]"
dns-server,"[('dns-server ip-address [ip-address2 . ip-address8]', 'cbs_350, cat_1300'), ('no dns-server', 'cbs_350, cat_1300')]"
domain-name,"[('domain-name domain', 'cbs_350, cat_1300'), ('no domain-name', 'cbs_350, cat_1300')]"
dot1x auth-not-req,"[('dot1x auth-not-req', 'cbs_250, cbs_350, cat_1300'), ('no dot1x auth-not-req', 'cbs_250, cbs_350, cat_1300')]"
dot1x authentication,"[('dot1x authentication [802.1x] [mac] [web]', 'cbs_250, cbs_350, cat_1300'), ('no dot1x authentication', 'cbs_250, cbs_350, cat_1300')]"
dot1x credentials,"[('dot1x credentials name', 'cbs_250, cbs_350, cat_1300'), ('no dot1x credentials name', 'cbs_250, cbs_350, cat_1300')]"
dot1x eap-max-retrans,"[('dot1x eap-max-retrans count', 'cbs_250, cbs_350, cat_1300'), ('no dot1x eap-max-retrans', 'cbs_250, cbs_350, cat_1300')]"
dot1x guest-vlan,"[('dot1x guest-vlan', 'cbs_250, cbs_350, cat_1300'), ('no dot1x guest-vlan', 'cbs_250, cbs_350, cat_1300')]"
dot1x guest-vlan enable,"[('dot1x guest-vlan vlan-id enable', 'cbs_220'), ('no dot1x guest-vlan enable', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('dot1x guest-vlan enable', 'cbs_250, cbs_350, cat_1300')]"
dot1x guest-vlan enable (Interface),"[('dot1x guest-vlan enable', 'cbs_220'), ('no dot1x guest-vlan enable', 'cbs_220')]"
dot1x guest-vlan timeout,"[('dot1x guest-vlan timeout timeout', 'cbs_250, cbs_350, cat_1300'), ('no dot1x guest-vlan timeout', 'cbs_250, cbs_350, cat_1300')]"
dot1x host-mode,"[('dot1x host-mode {multi-host | single-host | multi-sessions}', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('no dot1x host-mode', 'cbs_220')]"
dot1x mac-auth,"[('dot1x mac-auth {eap | radius} [username groupsize {1|2|4|12} separator {- | : |.} [lowercase | uppercase]', 'cat_1300'), ('no dot1x mac-auth', 'cat_1300')]"
dot1x mac-auth password,"[('encrypted dot1x mac-auth password encrypted-password', 'cat_1300'), ('dot1x mac-auth password password', 'cat_1300'), ('no dot1x mac-auth password', 'cat_1300')]"
dot1x max-hosts,"[('dot1x max-hosts number', 'cbs_220'), ('no dot1x max-hosts', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('dot1x max-hosts count', 'cbs_250, cbs_350, cat_1300')]"
dot1x max-login-attempts,"[('dot1x max-login-attempts count', 'cbs_250, cbs_350, cat_1300'), ('no dot1x max-login-attempts', 'cbs_250, cbs_350, cat_1300')]"
dot1x max-req,"[('dot1x max-req count', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('no dot1x max-req', 'cbs_220, cbs_250, cbs_350, cat_1300')]"
dot1x port-control,"[('dot1x port-control {auto | force-authorized | force-unauthorized}', 'cbs_220'), ('no dot1x port-control', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('dot1x port-control {auto | force-authorized | force-unauthorized} [time-range time-range-name]', 'cbs_250, cbs_350, cat_1300')]"
dot1x radius-attributes vlan,"[('dot1x radius-attribute vlan {reject | static}', 'cbs_220'), ('no dot1x radius-attribute vlan', 'cbs_220'), ('dot1x radius-attributes vlan [reject | static]', 'cbs_250, cbs_350, cat_1300'), ('no dot1x radius-attributes vlan', 'cbs_250, cbs_350, cat_1300')]"
dot1x reauthentication,"[('dot1x reauthentication', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('no dot1x reauthentication', 'cbs_220, cbs_250, cbs_350, cat_1300')]"
dot1x supplicant,"[('dot1x supplicant name', 'cbs_250, cbs_350, cat_1300'), ('no dot1x supplicant', 'cbs_250, cbs_350, cat_1300')]"
dot1x supplicant traps authentication failure,"[('dot1x supplicant traps authentication failure', 'cbs_250, cbs_350, cat_1300'), ('no dot1x supplicant traps authentication failure', 'cbs_250, cbs_350, cat_1300')]"
dot1x supplicant traps authentication success,"[('dot1x supplicant traps authentication success', 'cbs_250, cbs_350, cat_1300'), ('no dot1x supplicant traps authentication success', 'cbs_250, cbs_350, cat_1300')]"
dot1x system-auth-control,"[('dot1x system-auth-control', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('no dot1x system-auth-control', 'cbs_220, cbs_250, cbs_350, cat_1300')]"
dot1x timeout eap-timeout,"[('dot1x timeout eap-timeout seconds', 'cbs_250, cbs_350, cat_1300'), ('no dot1x timeout eap-timeout', 'cbs_250, cbs_350, cat_1300')]"
dot1x timeout quiet-period,"[('dot1x timeout quiet-period seconds', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('no dot1x timeout quiet-period', 'cbs_220, cbs_250, cbs_350, cat_1300')]"
dot1x timeout reauth-period,"[('dot1x timeout reauth-period seconds', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('no dot1x timeout reauth-period', 'cbs_220, cbs_250, cbs_350, cat_1300')]"
dot1x timeout server-timeout,"[('dot1x timeout server-timeout seconds', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('no dot1x timeout server-timeout', 'cbs_220, cbs_250, cbs_350, cat_1300')]"
dot1x timeout silence-period,"[('dot1x timeout silence-period seconds', 'cbs_250, cbs_350, cat_1300'), ('no dot1x timeout silence-period', 'cbs_250, cbs_350, cat_1300')]"
dot1x timeout supp-timeout,"[('dot1x timeout supp-timeout seconds', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('no dot1x timeout supp-timeout', 'cbs_220, cbs_250, cbs_350, cat_1300')]"
dot1x timeout supplicant-held-period,"[('dot1x timeout supplicant-held-period seconds', 'cbs_250, cbs_350, cat_1300'), ('no dot1x timeout supplicant-held-period', 'cbs_250, cbs_350, cat_1300')]"
dot1x timeout tx-period,"[('dot1x timeout tx-period seconds', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('no dot1x timeout tx-period', 'cbs_220, cbs_250, cbs_350, cat_1300')]"
dot1x traps authentication failure,"[('dot1x traps authentication failure {[802.1x] [mac] [web]}', 'cbs_250, cbs_350, cat_1300'), ('no dot1x traps authentication failure', 'cbs_250, cbs_350, cat_1300')]"
dot1x traps authentication quiet,"[('dot1x traps authentication quiet', 'cbs_250, cbs_350, cat_1300'), ('no dot1x traps authentication quiet', 'cbs_250, cbs_350, cat_1300')]"
dot1x traps authentication success,"[('dot1x traps authentication success {[802.1x] [mac] [web]}', 'cbs_250, cbs_350, cat_1300'), ('no dot1x traps authentication success', 'cbs_250, cbs_350, cat_1300')]"
dot1x violation-mode,"[('dot1x violation-mode {restrict | protect | shutdown} [trap seconds]', 'cbs_220'), ('no dot1x violation-mode', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('dot1x violation-mode {restrict | protect | shutdown} [traps seconds]', 'cbs_250, cbs_350, cat_1300')]"
drop-unsecure,"[('drop-unsecure [enable | disable]', 'cbs_350, cat_1300'), ('no drop-unsecure', 'cbs_350, cat_1300')]"
duplex,"[('duplex {half | full | auto}', 'cbs_220'), ('duplex {half | full}', 'cbs_250, cbs_350, cat_1300'), ('no duplex', 'cbs_250, cbs_350, cat_1300')]"
dying-gasp enable,"[('dying-gasp enable method1 [method2…]', 'cat_1300'), ('no dying-gasp enable', 'cat_1300')]"
eee enable (global),"[('eee enable', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('no eee enable', 'cbs_220, cbs_250, cbs_350, cat_1300')]"
eee enable (interface),"[('eee enable', 'cbs_250, cbs_350, cat_1300'), ('no eee enable', 'cbs_250, cbs_350, cat_1300')]"
eee lldp enable,"[('eee lldp enable', 'cbs_250, cbs_350, cat_1300'), ('no eee lldp enable', 'cbs_250, cbs_350, cat_1300')]"
enable,"[('enable algortithm-type hash-method [level privilege-level] unencrypted-password', 'cbs_220'), ('enable secret 8 [level privilege-level] encrypted-password', 'cbs_220'), ('no enable [level privilege-level]', 'cbs_220'), ('enable [privilege-level]', 'cbs_220, cbs_250, cbs_350, cat_1300')]"
enable authentication,"[('enable authentication LISTNAME', 'cbs_220'), ('no enable authentication', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('enable authentication {default | list-name}', 'cbs_250, cbs_350, cat_1300')]"
enable password,"[('enable password [level privilege-level] {[method hash-method] unencrypted-password | encrypted encrypted-password}', 'cbs_250, cbs_350, cat_1300'), ('no enable password [level privilege-level]', 'cbs_250, cbs_350, cat_1300')]"
errdisable recovery,"[('errdisable recovery {cause {all | acl | arp-inspection | bpduguard | broadcast-flood | dot1x-src-address | dhcp-rate-limit | inline-power | loopback-detection | psecure-violation | selfloop | unicast-flood | unknown-multicastflood} | interval interval}', 'cbs_220'), ('no errdisable recovery {cause {all | acl | arp-inspection | bpduguard | broadcast-flood | dot1x-src-address | dhcp-rate-limit | inline-power | loopback-detection | psecure-violation | selfloop | unicast-flood | unknown-multicastflood}', 'cbs_220')]"
errdisable recovery cause,"[('errdisable recovery cause {all | port-security | dot1x-src-address | acl-deny | stp-bpdu-guard | stp-loopback-guard | loopback-detection | udld | storm-control | link-flap }', 'cbs_250, cbs_350, cat_1300'), ('no errdisable recovery cause {all | port-security | dot1x-src-address | acl-deny | stp-bpdu-guard | stp-loopback-guard | loopback-detection | udld | storm-control | link-flap }', 'cbs_250, cbs_350, cat_1300')]"
errdisable recovery interval,"[('errdisable recovery interval seconds', 'cbs_250, cbs_350, cat_1300'), ('no errdisable recovery interval', 'cbs_250, cbs_350, cat_1300')]"
ethtype,"[('ethtype dot1q | dot1ad | 9100 | 9200', 'cbs_250, cbs_350, cat_1300'), ('no ethtype', 'cbs_250, cbs_350, cat_1300')]"
exec-banner,"[('exec-banner', 'cbs_250, cbs_350'), ('no exec-banner', 'cbs_250, cbs_350')]"
exec-timeout,"[('exec-timeout minutes', 'cbs_220'), ('no exec-timeout', 'cbs_220, cbs_350, cat_1300'), ('exec-timeout minutes [seconds]', 'cbs_350, cat_1300')]"
file-system logging,"[('file-system logging {copy | delete-rename}', 'cbs_250, cbs_350, cat_1300'), ('no file-system logging {copy | delete-rename}', 'cbs_250, cbs_350, cat_1300')]"
flowcontrol,"[('flowcontrol {auto | on | off}', 'cbs_220, cbs_250, cbs_350'), ('no flowcontrol', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('flowcontrol {on | off}', 'cat_1300')]"
green-ethernet energy-detect (global),"[('green-ethernet energy-detect', 'cbs_250, cbs_350, cat_1300'), ('no green-ethernet energy-detect', 'cbs_250, cbs_350, cat_1300')]"
green-ethernet energy-detect (interface),"[('green-ethernet energy-detect', 'cbs_250, cbs_350, cat_1300'), ('no green-ethernet energy-detect', 'cbs_250, cbs_350, cat_1300')]"
green-ethernet short-reach (global),"[('green-ethernet short-reach', 'cbs_250, cbs_350, cat_1300'), ('no green-ethernet short-reach', 'cbs_250, cbs_350, cat_1300')]"
green-ethernet short-reach (interface),"[('green-ethernet short-reach', 'cbs_250, cbs_350, cat_1300'), ('no green-ethernet short-reach', 'cbs_250, cbs_350, cat_1300')]"
gvrp enable (Global),"[('gvrp enable', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('no gvrp enable', 'cbs_220, cbs_250, cbs_350, cat_1300')]"
gvrp enable (Interface),"[('gvrp enable', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('no gvrp enable', 'cbs_220, cbs_250, cbs_350, cat_1300')]"
gvrp registration-forbid,"[('gvrp registration-forbid', 'cbs_250, cbs_350, cat_1300'), ('no gvrp registration-forbid', 'cbs_250, cbs_350, cat_1300')]"
gvrp vlan-creation-forbid,"[('gvrp vlan-creation-forbid', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('no gvrp vlan-creation-forbid', 'cbs_220, cbs_250, cbs_350, cat_1300')]"
history,"[('history [size number-of-commands]', 'cbs_220'), ('no history', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('history', 'cbs_250, cbs_350, cat_1300')]"
history size,"[('history size number-of-commands', 'cbs_250, cbs_350, cat_1300'), ('no history size', 'cbs_250, cbs_350, cat_1300')]"
hop-limit,"[('hop-limit {[maximum {value | disable}] [minimum {value | disable}]}', 'cbs_350, cat_1300'), ('no hop-limit [maximum] [minimum]', 'cbs_350, cat_1300')]"
hostname,"[('hostname name', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('no hostname', 'cbs_250, cbs_350, cat_1300')]"
instance (MST),"[('instance instance-id vlan vlan-range', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('no instance instance-id vlan vlan-range', 'cbs_220, cbs_250, cbs_350, cat_1300')]"
interface range,"[('interface range interface-list', 'cbs_220'), ('interface range interface-id-list', 'cbs_250, cbs_350, cat_1300')]"
ip SSH logging,"[('ip ssh logging [enable | disable]', 'cbs_250, cbs_350, cat_1300'), ('no ip ssh logging', 'cbs_250, cbs_350, cat_1300')]"
ip access-group in,"[('ip access-group acl-name in', 'cbs_220'), ('no ip access-group in', 'cbs_220')]"
ip access-list (IP extended),"[('ip access-list extended acl-name', 'cbs_250, cbs_350, cat_1300'), ('no ip access-list extended acl-name', 'cbs_250, cbs_350, cat_1300')]"
ip access-list (IP standard),"[('ip access-list access-list-name {deny|permit} {src-addr[/src-len] | any}', 'cbs_250, cbs_350, cat_1300'), ('no ip access-list access-list-name', 'cbs_250, cbs_350, cat_1300')]"
ip access-list extended,"[('ip access-list extended acl-name', 'cbs_220'), ('no ip access-list extended acl-name', 'cbs_220')]"
ip address,"[('OOB port:', 'cbs_250, cbs_350'), ('ip address ip-address {mask | /prefix-length} [default-gateway-ip-address]', 'cbs_250, cbs_350'), ('no ip address', 'cbs_250, cbs_350, cat_1300'), ('In-Band interfaces:', 'cbs_250, cbs_350, cat_1300'), ('ip address ip-address {mask | /prefix-length}', 'cbs_250, cbs_350, cat_1300, cat_1300'), ('no ip address [ip-address]', 'cbs_250, cbs_350, cat_1300'), ('Bluetooth Interface', 'cat_1300')]"
ip address dhcp,"[('ip address dhcp', 'cbs_250, cbs_350, cat_1300'), ('no ip address dhcp', 'cbs_250, cbs_350, cat_1300')]"
ip arp inspection,"[('ip arp inspection', 'cbs_220, cbs_350, cat_1300'), ('no ip arp inspection', 'cbs_220, cbs_350, cat_1300')]"
ip arp inspection limit rate,"[('ip arp inspection limit rate VALUE', 'cbs_220'), ('no ip arp inspection limit rate', 'cbs_220')]"
ip arp inspection list assign,"[('ip arp inspection list assign vlan-id name', 'cbs_350, cat_1300'), ('no ip arp inspection list assign vlan-id', 'cbs_350, cat_1300')]"
ip arp inspection list create,"[('ip arp inspection list create name', 'cbs_350, cat_1300'), ('no ip arp inspection list create name', 'cbs_350, cat_1300')]"
ip arp inspection logging interval,"[('ip arp inspection logging interval {seconds | infinite}', 'cbs_350, cat_1300'), ('no ip arp inspection logging interval', 'cbs_350, cat_1300')]"
ip arp inspection trust,"[('ip arp inspection trust', 'cbs_220'), ('no ip arp inspection trust', 'cbs_220')]"
ip arp inspection validate,"[('ip arp inspection validate {dst-mac | ip [allow-zeros] | src-mac}', 'cbs_220'), ('no ip arp inspection validate {dst-mac | ip [allow-zeros] | src-mac}', 'cbs_220'), ('ip arp inspection validate', 'cbs_350, cat_1300'), ('no ip arp inspection validate', 'cbs_350, cat_1300')]"
